Month,DayofWeek,Tm,Home_Away,Opp,W/L,R,RA,W-L,Rank,Win,Loss,D/N,cLI,Streak,Team,Run_Diff,Avg_R_MA3,Avg_Ra_MA3,RunDiff_MA3,Avg_R_MA5,Avg_Ra_MA5,RunDiff_MA5,Avg_R_MA10,Avg_Ra_MA10,RunDiff_MA10
3,3,NYY,0,HOU,2,5.0,4.0,1-0,1.0,Loáisiga,Pressly,0,.93,1.0,NYY,1.0,5.0,4.0,1.0,5.0,4.0,1.0,5.0,4.0,1.0
3,4,NYY,0,HOU,2,7.0,1.0,2-0,1.0,Weaver,Scott,1,.99,2.0,NYY,6.0,6.0,2.5,3.5,6.0,2.5,3.5,6.0,2.5,3.5
3,5,NYY,0,HOU,2,5.0,3.0,3-0,1.0,Stroman,Abreu,1,1.05,3.0,NYY,2.0,5.667,2.667,3.0,5.667,2.667,3.0,5.667,2.667,3.0
3,6,NYY,0,HOU,2,4.0,3.0,4-0,1.0,Burdi,Hader,0,1.06,4.0,NYY,1.0,5.333,2.333,3.0,5.25,2.75,2.5,5.25,2.75,2.5
4,0,NYY,0,ARI,2,5.0,2.0,5-0,1.0,Weaver,Nelson,1,1.04,5.0,NYY,3.0,4.667,2.667,2.0,5.2,2.6,2.6,5.2,2.6,2.6
4,1,NYY,0,ARI,0,0.0,7.0,5-1,1.0,Gallen,Cortés,1,1.05,-1.0,NYY,-7.0,3.0,4.0,-1.0,4.2,3.2,1.0,4.333,3.333,1.0
4,2,NYY,0,ARI,2,6.0,5.0,6-1,1.0,Holmes,McGough,0,1.03,1.0,NYY,1.0,3.667,4.667,-1.0,4.0,4.0,0.0,4.571,3.571,1.0
4,4,NYY,1,TOR,0,0.0,3.0,6-2,1.0,García,Ferguson,0,1.15,-1.0,NYY,-3.0,2.0,5.0,-3.0,3.0,4.0,-1.0,4.0,3.5,0.5
4,5,NYY,1,TOR,2,9.0,8.0,7-2,1.0,Weaver,Gausman,1,1.14,1.0,NYY,1.0,5.0,5.333,-0.333,4.0,5.0,-1.0,4.556,4.0,0.556
4,6,NYY,1,TOR,2,8.0,3.0,8-2,1.0,Cousins,Francis,0,1.22,2.0,NYY,5.0,5.667,4.667,1.0,4.6,5.2,-0.6,4.9,3.9,1.0
