Month,DayofWeek,Tm,Home_Away,Opp,W/L,R,RA,W-L,Rank,Win,Loss,D/N,cLI,Streak,Team,Run_Diff,Avg_R_MA3,Avg_Ra_MA3,RunDiff_MA3,Avg_R_MA5,Avg_Ra_MA5,RunDiff_MA5,Avg_R_MA10,Avg_Ra_MA10,RunDiff_MA10
4,0,NYY,1,MIA,2,7.0,0.0,9-2,1.0,Cortés,Luzardo,1,1.09,3.0,NYY,7.0,8.0,3.667,4.333,6.0,3.8,2.2,5.1,3.5,1.6
4,1,NYY,1,MIA,2,3.0,2.0,10-2,1.0,Rodón,Puk,1,1.11,4.0,NYY,1.0,6.0,1.667,4.333,5.4,3.2,2.2,4.7,3.6,1.1
4,2,NYY,1,MIA,0,2.0,5.0,10-3,1.0,Weathers,Stroman,1,1.11,-1.0,NYY,-3.0,4.0,2.333,1.667,5.8,3.6,2.2,4.4,3.8,0.6
4,5,NYY,0,CLE,2,3.0,2.0,11-3,1.0,Schmidt,Carrasco,0,1.19,1.0,NYY,1.0,2.667,3.0,-0.333,4.6,2.4,2.2,4.3,3.7,0.6
4,5,NYY,0,CLE,2,8.0,2.0,12-3,1.0,Poteet,McKenzie,1,1.22,2.0,NYY,6.0,4.333,3.0,1.333,4.6,2.2,2.4,4.6,3.7,0.9
4,6,NYY,0,CLE,1,7.0,8.0,12-4,1.0,Beede,Ferguson,0,1.21,-1.0,NYY,-1.0,6.0,4.0,2.0,4.6,3.8,0.8,5.3,3.8,1.5
4,0,NYY,0,TOR,0,1.0,3.0,12-5,1.0,Bassitt,Gil,1,1.23,-2.0,NYY,-2.0,5.333,4.333,1.0,4.2,4.0,0.2,4.8,3.6,1.2
4,1,NYY,0,TOR,0,4.0,5.0,12-6,1.0,Kikuchi,Rodón,1,1.25,-3.0,NYY,-1.0,4.0,5.333,-1.333,4.6,4.0,0.6,5.2,3.8,1.4
4,2,NYY,0,TOR,2,6.0,4.0,13-6,1.0,González,Swanson,0,1.24,1.0,NYY,2.0,3.667,4.0,-0.333,5.2,4.4,0.8,4.9,3.4,1.5
4,4,NYY,1,TBR,2,5.0,3.0,14-6,1.0,Santana,Devenski,1,1.24,2.0,NYY,2.0,5.0,4.0,1.0,4.6,4.6,0.0,4.6,3.4,1.2
4,5,NYY,1,TBR,0,0.0,2.0,14-7,1.0,Adam,Ferguson,0,1.21,-1.0,NYY,-2.0,3.667,3.0,0.667,3.2,3.4,-0.2,3.9,3.6,0.3
4,6,NYY,1,TBR,2,5.0,4.0,15-7,1.0,Gil,Civale,0,1.22,1.0,NYY,1.0,3.333,3.0,0.333,4.0,3.6,0.4,4.1,3.8,0.3
4,0,NYY,1,OAK,0,0.0,2.0,15-8,2.0,Erceg,González,0,1.13,-1.0,NYY,-2.0,1.667,2.667,-1.0,3.2,3.0,0.2,3.9,3.5,0.4
4,1,NYY,1,OAK,2,4.0,3.0,16-8,1.0,Stroman,Blackburn,1,1.14,1.0,NYY,1.0,3.0,3.0,0.0,2.8,2.8,0.0,4.0,3.6,0.4
4,2,NYY,1,OAK,2,7.0,3.0,17-8,1.0,Schmidt,Boyle,1,1.17,2.0,NYY,4.0,3.667,2.667,1.0,3.2,2.8,0.4,3.9,3.7,0.2
4,3,NYY,1,OAK,0,1.0,3.0,17-9,1.0,Wood,Cortés,1,1.16,-1.0,NYY,-2.0,4.0,3.0,1.0,3.4,3.0,0.4,3.3,3.2,0.1
4,4,NYY,0,MIL,1,6.0,7.0,17-10,1.0,Koenig,Tonkin,1,1.11,-2.0,NYY,-1.0,4.667,4.333,0.333,3.6,3.6,0.0,3.8,3.6,0.2
4,5,NYY,0,MIL,2,15.0,3.0,18-10,1.0,Rodón,Ross,1,1.14,1.0,NYY,12.0,7.333,4.333,3.0,6.6,3.8,2.8,4.9,3.4,1.5
4,6,NYY,0,MIL,2,15.0,5.0,19-10,1.0,Marinaccio,Uribe,0,1.14,2.0,NYY,10.0,12.0,5.0,7.0,8.8,4.2,4.6,5.8,3.5,2.3
4,0,NYY,0,BAL,0,0.0,2.0,19-11,1.0,Rodriguez,Schmidt,1,1.38,-1.0,NYY,-2.0,10.0,3.333,6.667,7.4,4.0,3.4,5.3,3.4,1.9
4,1,NYY,0,BAL,0,2.0,4.0,19-12,2.0,Kremer,Cortés,1,1.33,-2.0,NYY,-2.0,5.667,3.667,2.0,7.6,4.2,3.4,5.5,3.6,1.9
5,2,NYY,0,BAL,2,2.0,0.0,20-12,1.0,Gil,Burnes,1,1.36,1.0,NYY,2.0,1.333,2.0,-0.667,6.8,2.8,4.0,5.2,3.2,2.0
5,3,NYY,0,BAL,0,2.0,7.0,20-13,2.0,Akin,Rodón,0,1.39,-1.0,NYY,-5.0,2.0,3.667,-1.667,4.2,3.6,0.6,5.4,3.7,1.7
5,4,NYY,1,DET,3,2.0,1.0,21-13,2.0,Santana,Foley,1,1.21,1.0,NYY,1.0,2.0,2.667,-0.667,1.6,2.8,-1.2,5.2,3.5,1.7
5,5,NYY,1,DET,2,5.0,3.0,22-13,2.0,Schmidt,Mize,0,1.24,2.0,NYY,2.0,3.0,3.667,-0.667,2.6,3.0,-0.4,5.0,3.5,1.5
5,6,NYY,1,DET,2,5.0,2.0,23-13,2.0,González,Miller,0,1.27,3.0,NYY,3.0,4.0,2.0,2.0,3.2,2.6,0.6,5.4,3.4,2.0
5,1,NYY,1,HOU,2,10.0,3.0,24-13,1.0,Gil,Verlander,1,1.17,4.0,NYY,7.0,6.667,2.667,4.0,4.8,3.2,1.6,5.8,3.0,2.8
5,2,NYY,1,HOU,2,9.0,4.0,25-13,1.0,Rodón,Arrighetti,1,1.22,5.0,NYY,5.0,8.0,3.0,5.0,6.2,2.6,3.6,5.2,3.1,2.1
5,3,NYY,1,HOU,0,3.0,4.0,25-14,2.0,Blanco,Stroman,1,1.21,-1.0,NYY,-1.0,7.333,3.667,3.667,6.4,3.2,3.2,4.0,3.0,1.0
5,4,NYY,0,TBR,2,2.0,0.0,26-14,2.0,Schmidt,Bradley,1,1.30,1.0,NYY,2.0,4.667,2.667,2.0,5.8,2.6,3.2,4.2,2.8,1.4
5,5,NYY,0,TBR,0,2.0,7.0,26-15,2.0,Littell,Cortés,0,1.27,-1.0,NYY,-5.0,2.333,3.667,-1.333,5.2,3.6,1.6,4.2,3.1,1.1
5,6,NYY,0,TBR,2,10.0,6.0,27-15,2.0,Gil,Alexander,0,1.24,1.0,NYY,4.0,4.667,4.333,0.333,5.2,4.2,1.0,5.0,3.7,1.3
5,1,NYY,0,MIN,2,5.0,1.0,28-15,1.0,Rodón,Paddack,1,1.24,2.0,NYY,4.0,5.667,4.667,1.0,4.4,3.6,0.8,5.3,3.1,2.2
5,2,NYY,0,MIN,2,4.0,0.0,29-15,1.0,Stroman,López,1,1.26,3.0,NYY,4.0,6.333,2.333,4.0,4.6,2.8,1.8,5.5,3.0,2.5
5,3,NYY,0,MIN,2,5.0,0.0,30-15,1.0,Schmidt,Ryan,0,1.22,4.0,NYY,5.0,4.667,0.333,4.333,5.2,2.8,2.4,5.5,2.7,2.8
5,4,NYY,1,CHW,2,4.0,2.0,31-15,1.0,Cortés,Clevinger,1,1.14,5.0,NYY,2.0,4.333,0.667,3.667,5.6,1.8,3.8,5.4,2.7,2.7
5,5,NYY,1,CHW,2,6.0,1.0,32-15,1.0,Gil,Keller,0,1.07,6.0,NYY,5.0,5.0,1.0,4.0,4.8,0.8,4.0,5.0,2.5,2.5
5,6,NYY,1,CHW,2,7.0,2.0,33-15,1.0,Rodón,Flexen,0,1.04,7.0,NYY,5.0,5.667,1.667,4.0,5.2,1.0,4.2,4.8,2.3,2.5
5,0,NYY,1,SEA,0,4.0,5.0,33-16,1.0,Bazardo,Holmes,1,1.15,-1.0,NYY,-1.0,5.667,2.667,3.0,5.2,2.0,3.2,4.9,2.4,2.5
5,1,NYY,1,SEA,0,3.0,6.0,33-17,1.0,Woo,Schmidt,1,1.18,-2.0,NYY,-3.0,4.667,4.333,0.333,4.8,3.2,1.6,5.0,3.0,2.0
5,2,NYY,1,SEA,2,7.0,3.0,34-17,1.0,Cortés,Miller,1,1.23,1.0,NYY,4.0,4.667,4.667,0.0,5.4,3.4,2.0,5.5,2.6,2.9
5,3,NYY,1,SEA,2,5.0,0.0,35-17,1.0,Gil,Castillo,0,1.21,2.0,NYY,5.0,5.0,3.0,2.0,5.2,3.2,2.0,5.0,2.0,3.0
5,4,NYY,0,SDP,2,8.0,0.0,36-17,1.0,Rodón,Darvish,1,1.07,3.0,NYY,8.0,6.667,1.0,5.667,5.4,2.8,2.6,5.3,1.9,3.4
5,5,NYY,0,SDP,2,4.0,1.0,37-17,1.0,Stroman,Cease,1,1.00,4.0,NYY,3.0,5.667,0.333,5.333,5.4,2.0,3.4,5.3,2.0,3.3
5,6,NYY,0,SDP,0,2.0,5.0,37-18,1.0,Estrada,Schmidt,0,.96,-1.0,NYY,-3.0,4.667,2.0,2.667,5.2,1.8,3.4,5.0,2.5,2.5
5,1,NYY,0,LAA,0,3.0,4.0,37-19,1.0,Moore,Weaver,1,1.02,-2.0,NYY,-1.0,3.0,3.333,-0.333,4.4,2.0,2.4,4.9,2.7,2.2
5,2,NYY,0,LAA,2,2.0,1.0,38-19,1.0,Gil,Anderson,1,1.10,1.0,NYY,1.0,2.333,3.333,-1.0,3.8,2.2,1.6,4.5,2.7,1.8
5,3,NYY,0,LAA,2,8.0,3.0,39-19,1.0,Rodón,Sandoval,1,1.02,2.0,NYY,5.0,4.333,2.667,1.667,3.8,2.8,1.0,4.6,2.8,1.8
5,4,NYY,0,SFG,2,6.0,2.0,40-19,1.0,Stroman,Hicks,1,1.00,3.0,NYY,4.0,5.333,2.0,3.333,4.2,3.0,1.2,4.8,2.5,2.3
6,5,NYY,0,SFG,2,7.0,3.0,41-19,1.0,Poteet,Webb,1,.93,4.0,NYY,4.0,7.0,2.667,4.333,5.2,2.6,2.6,5.2,2.2,3.0
6,6,NYY,0,SFG,2,7.0,5.0,42-19,1.0,Tonkin,Doval,0,.92,5.0,NYY,2.0,6.667,3.333,3.333,6.0,2.8,3.2,5.2,2.4,2.8
6,1,NYY,1,MIN,2,5.0,1.0,43-19,1.0,Gil,Ober,1,.95,6.0,NYY,4.0,6.333,3.0,3.333,6.6,2.8,3.8,5.2,2.5,2.7
6,2,NYY,1,MIN,2,9.0,5.0,44-19,1.0,Rodón,Paddack,1,.93,7.0,NYY,4.0,7.0,3.667,3.333,6.8,3.2,3.6,5.3,3.0,2.3
6,3,NYY,1,MIN,2,8.0,5.0,45-19,1.0,Weaver,López,1,.84,8.0,NYY,3.0,7.333,3.667,3.667,7.2,3.8,3.4,5.7,3.4,2.3
6,4,NYY,1,LAD,0,1.0,2.0,45-20,1.0,Grove,Hamilton,1,.78,-1.0,NYY,-1.0,6.0,4.0,2.0,6.0,3.6,2.4,5.6,3.1,2.5
6,5,NYY,1,LAD,0,3.0,11.0,45-21,1.0,Stone,Cortés,1,.82,-2.0,NYY,-8.0,4.0,6.0,-2.0,5.2,4.8,0.4,5.6,3.8,1.8
6,6,NYY,1,LAD,2,6.0,4.0,46-21,1.0,Ferguson,Glasnow,1,.86,1.0,NYY,2.0,3.333,5.667,-2.333,5.4,5.4,0.0,6.0,4.1,1.9
6,0,NYY,0,KCR,2,4.0,2.0,47-21,1.0,Rodón,Lugo,1,.88,2.0,NYY,2.0,4.333,5.667,-1.333,4.4,4.8,-0.4,5.6,4.0,1.6
6,1,NYY,0,KCR,2,10.0,1.0,48-21,1.0,Stroman,Singer,1,.79,3.0,NYY,9.0,6.667,2.333,4.333,4.8,4.0,0.8,6.0,3.9,2.1
6,2,NYY,0,KCR,2,11.0,5.0,49-21,1.0,Poteet,Altavilla,1,.77,4.0,NYY,6.0,8.333,2.667,5.667,6.8,4.6,2.2,6.4,4.1,2.3
6,3,NYY,0,KCR,1,3.0,4.0,49-22,1.0,McArthur,Holmes,0,.73,-1.0,NYY,-1.0,8.0,3.333,4.667,6.8,3.2,3.6,6.0,4.0,2.0
6,4,NYY,0,BOS,2,8.0,1.0,50-22,1.0,Gil,Bello,1,.78,1.0,NYY,7.0,7.333,3.333,4.0,7.2,2.6,4.6,6.3,4.0,2.3
6,5,NYY,0,BOS,0,4.0,8.0,50-23,1.0,Slaten,Rodón,1,.77,-1.0,NYY,-4.0,5.0,4.333,0.667,7.2,3.8,3.4,5.8,4.3,1.5
6,6,NYY,0,BOS,0,3.0,9.0,50-24,1.0,Crawford,Stroman,1,.82,-2.0,NYY,-6.0,5.0,6.0,-1.0,5.8,5.4,0.4,5.3,4.7,0.6
6,1,NYY,1,BAL,2,4.0,2.0,51-24,1.0,Cortés,Suárez,1,1.36,1.0,NYY,2.0,3.667,6.333,-2.667,4.4,4.8,-0.4,5.6,4.7,0.9
6,2,NYY,1,BAL,0,6.0,7.0,51-25,1.0,Kimbrel,Holmes,1,1.31,-1.0,NYY,-1.0,4.333,6.0,-1.667,5.0,5.4,-0.4,5.9,4.3,1.6
6,3,NYY,1,BAL,0,5.0,17.0,51-26,1.0,Baker,Gil,0,1.35,-2.0,NYY,-12.0,5.0,8.667,-3.667,4.4,8.6,-4.2,5.8,5.6,0.2
6,4,NYY,1,ATL,0,1.0,8.0,51-27,1.0,Sale,Rodón,1,.86,-3.0,NYY,-7.0,4.0,10.667,-6.667,3.8,8.6,-4.8,5.5,6.2,-0.7
6,5,NYY,1,ATL,2,8.0,3.0,52-27,1.0,Stroman,Morton,1,.89,1.0,NYY,5.0,4.667,9.333,-4.667,4.8,7.4,-2.6,5.3,6.4,-1.1
6,6,NYY,1,ATL,0,1.0,3.0,52-28,1.0,Fried,Cortés,0,.89,-1.0,NYY,-2.0,3.333,4.667,-1.333,4.2,7.6,-3.4,4.3,6.2,-1.9
6,1,NYY,0,NYM,0,7.0,9.0,52-29,1.0,Núñez,Cole,1,.93,-2.0,NYY,-2.0,5.333,5.0,0.333,4.4,8.0,-3.6,4.7,6.7,-2.0
6,2,NYY,0,NYM,0,2.0,12.0,52-30,1.0,Manaea,Gil,1,.94,-3.0,NYY,-10.0,3.333,8.0,-4.667,3.8,7.0,-3.2,4.1,7.8,-3.7
6,3,NYY,0,TOR,0,2.0,9.0,52-31,1.0,Berríos,Rodón,1,.95,-4.0,NYY,-7.0,3.667,10.0,-6.333,4.0,7.2,-3.2,3.9,7.9,-4.0
6,4,NYY,0,TOR,2,16.0,5.0,53-31,1.0,Tonkin,Kikuchi,1,1.04,1.0,NYY,11.0,6.667,8.667,-2.0,5.6,7.6,-2.0,5.2,7.5,-2.3
6,5,NYY,0,TOR,0,3.0,9.0,53-32,2.0,Bassitt,Cortés,0,.99,-1.0,NYY,-6.0,7.0,7.667,-0.667,6.0,8.8,-2.8,5.1,8.2,-3.1
6,6,NYY,0,TOR,2,8.0,1.0,54-32,1.0,Cole,Gausman,0,1.01,1.0,NYY,7.0,9.0,5.0,4.0,6.2,7.2,-1.0,5.3,7.6,-2.3
7,1,NYY,1,CIN,0,4.0,5.0,54-33,2.0,Ashcraft,Gil,1,1.00,-1.0,NYY,-1.0,5.0,5.0,0.0,6.6,5.8,0.8,5.2,6.4,-1.2
7,2,NYY,1,CIN,0,2.0,3.0,54-34,2.0,Abbott,Rodón,1,1.02,-2.0,NYY,-1.0,4.667,3.0,1.667,6.6,4.6,2.0,5.3,5.9,-0.6
7,3,NYY,1,CIN,0,4.0,8.0,54-35,2.0,Montas,Stroman,0,1.03,-3.0,NYY,-4.0,3.333,5.333,-2.0,4.2,5.2,-1.0,4.9,6.4,-1.5
7,4,NYY,1,BOS,0,3.0,5.0,54-36,2.0,Slaten,Kahnle,1,1.24,-4.0,NYY,-2.0,3.0,5.333,-2.333,4.2,4.4,-0.2,5.1,6.6,-1.5
7,5,NYY,1,BOS,2,14.0,4.0,55-36,2.0,Hill,Bernardino,0,1.21,1.0,NYY,10.0,7.0,5.667,1.333,5.4,5.0,0.4,5.8,6.1,-0.3
7,6,NYY,1,BOS,0,0.0,3.0,55-37,2.0,Crawford,Gil,1,1.19,-1.0,NYY,-3.0,5.667,4.0,1.667,4.6,4.6,0.0,5.6,5.2,0.4
7,1,NYY,0,TBR,0,3.0,5.0,55-38,2.0,Pepiot,Rodón,1,1.16,-2.0,NYY,-2.0,5.667,4.0,1.667,4.8,5.0,-0.2,5.7,4.8,0.9
7,2,NYY,0,TBR,2,2.0,1.0,56-38,2.0,Hill,Eflin,1,1.21,1.0,NYY,1.0,1.667,3.0,-1.333,4.4,3.6,0.8,4.3,4.4,-0.1
7,3,NYY,0,TBR,0,4.0,5.0,56-39,2.0,Kelly,Cortés,1,1.18,-1.0,NYY,-1.0,3.0,3.667,-0.667,4.6,3.6,1.0,4.4,4.0,0.4
7,4,NYY,0,BAL,2,4.0,1.0,57-39,2.0,Cole,Povich,1,1.75,1.0,NYY,3.0,3.333,2.333,1.0,2.6,3.0,-0.4,4.0,4.0,0.0
7,5,NYY,0,BAL,2,6.0,1.0,58-39,1.0,Gil,Rodriguez,0,1.79,2.0,NYY,5.0,4.667,2.333,2.333,3.8,2.6,1.2,4.2,3.6,0.6
7,6,NYY,0,BAL,1,5.0,6.0,58-40,2.0,Kimbrel,Holmes,0,1.82,-1.0,NYY,-1.0,5.0,2.667,2.333,4.2,2.8,1.4,4.5,3.9,0.6
7,4,NYY,1,TBR,2,6.0,1.0,59-40,2.0,Cole,Eflin,1,1.32,1.0,NYY,5.0,5.667,2.667,3.0,5.0,2.8,2.2,4.7,3.2,1.5
7,5,NYY,1,TBR,0,1.0,9.0,59-41,2.0,Bradley,Cortés,0,1.26,-1.0,NYY,-8.0,4.0,5.333,-1.333,4.4,3.6,0.8,4.5,3.6,0.9
7,6,NYY,1,TBR,0,4.0,6.0,59-42,2.0,Cleavinger,Stroman,0,1.28,-2.0,NYY,-2.0,3.667,5.333,-1.667,4.4,4.6,-0.2,3.5,3.8,-0.3
7,0,NYY,1,TBR,2,9.0,1.0,60-42,2.0,Rodón,Littell,0,1.33,1.0,NYY,8.0,4.667,5.333,-0.667,5.0,4.6,0.4,4.4,3.6,0.8
7,1,NYY,1,NYM,0,2.0,3.0,60-43,2.0,Quintana,Tonkin,1,1.27,-1.0,NYY,-1.0,5.0,3.333,1.667,4.4,4.0,0.4,4.3,3.4,0.9
7,2,NYY,1,NYM,0,3.0,12.0,60-44,2.0,Ottavino,Cole,1,1.26,-2.0,NYY,-9.0,4.667,5.333,-0.667,3.8,6.2,-2.4,4.4,4.5,-0.1
7,4,NYY,0,BOS,0,7.0,9.0,60-45,2.0,Horn,Weaver,1,1.47,-3.0,NYY,-2.0,4.0,8.0,-4.0,5.0,6.2,-1.2,4.7,4.9,-0.2
7,5,NYY,0,BOS,2,11.0,8.0,61-45,2.0,Holmes,Anderson,1,1.60,1.0,NYY,3.0,7.0,9.667,-2.667,6.4,6.6,-0.2,5.4,5.6,-0.2
7,6,NYY,0,BOS,2,8.0,2.0,62-45,2.0,Rodón,Houck,1,1.54,2.0,NYY,6.0,8.667,6.333,2.333,6.2,6.8,-0.6,5.6,5.7,-0.1
7,0,NYY,0,PHI,2,14.0,4.0,63-45,2.0,Gil,Wheeler,1,1.35,3.0,NYY,10.0,11.0,4.667,6.333,8.6,7.0,1.6,6.5,5.5,1.0
7,1,NYY,0,PHI,2,7.0,6.0,64-45,2.0,Tonkin,Kerkering,1,1.28,4.0,NYY,1.0,9.667,4.0,5.667,9.4,5.8,3.6,6.6,6.0,0.6
7,2,NYY,0,PHI,2,6.0,5.0,65-45,2.0,Cortés,Sánchez,0,1.22,5.0,NYY,1.0,9.0,5.0,4.0,9.2,5.0,4.2,7.1,5.6,1.5
8,4,NYY,1,TOR,0,5.0,8.0,65-46,1.0,Little,Stroman,1,1.29,-1.0,NYY,-3.0,6.0,6.333,-0.333,8.0,5.0,3.0,7.2,5.8,1.4
8,5,NYY,1,TOR,2,8.0,3.0,66-46,1.0,Rodón,Berríos,0,1.35,1.0,NYY,5.0,6.333,5.333,1.0,8.0,5.2,2.8,7.1,6.0,1.1
8,6,NYY,1,TOR,3,4.0,3.0,67-46,1.0,Leiter,Francis,0,1.27,2.0,NYY,1.0,5.667,4.667,1.0,6.0,5.0,1.0,7.3,6.0,1.3
8,2,NYY,1,LAA,2,5.0,2.0,68-46,1.0,Gil,Daniel,1,1.28,3.0,NYY,3.0,5.667,2.667,3.0,5.6,4.2,1.4,7.5,5.0,2.5
8,2,NYY,1,LAA,0,2.0,8.0,68-47,1.0,Strickland,Warren,1,1.21,-1.0,NYY,-6.0,3.667,4.333,-0.667,4.8,4.8,0.0,7.0,4.9,2.1
8,3,NYY,1,LAA,0,4.0,9.0,68-48,1.0,Anderson,Cortés,1,1.25,-2.0,NYY,-5.0,3.667,6.333,-2.667,4.6,5.0,-0.4,6.3,5.0,1.3
8,5,NYY,1,TEX,2,8.0,0.0,69-48,2.0,Rodón,Eovaldi,0,1.25,1.0,NYY,8.0,4.667,5.667,-1.0,4.6,4.4,0.2,6.3,4.8,1.5
8,5,NYY,1,TEX,0,4.0,9.0,69-49,2.0,Bradford,Weaver,0,1.22,-1.0,NYY,-5.0,5.333,6.0,-0.667,4.6,5.6,-1.0,5.3,5.3,0.0
8,6,NYY,1,TEX,2,8.0,7.0,70-49,1.0,Stroman,Heaney,0,1.26,1.0,NYY,1.0,6.667,5.333,1.333,5.2,6.6,-1.4,5.4,5.4,0.0
8,0,NYY,0,CHW,0,2.0,12.0,70-50,2.0,Toussaint,Gil,1,1.27,-1.0,NYY,-10.0,4.667,9.333,-4.667,5.2,7.4,-2.2,5.0,6.1,-1.1
8,1,NYY,0,CHW,2,4.0,1.0,71-50,1.0,Cortés,Cannon,1,1.25,1.0,NYY,3.0,4.667,6.667,-2.0,5.2,5.8,-0.6,4.9,5.4,-0.5
8,2,NYY,0,CHW,2,10.0,2.0,72-50,1.0,Hill,Leone,1,1.31,2.0,NYY,8.0,5.333,5.0,0.333,5.6,6.2,-0.6,5.1,5.3,-0.2
8,4,NYY,0,DET,2,3.0,0.0,73-50,1.0,Cole,Brieske,1,1.22,3.0,NYY,3.0,5.667,1.0,4.667,5.4,4.4,1.0,5.0,5.0,0.0
8,5,NYY,0,DET,0,0.0,4.0,73-51,1.0,Montero,Rodón,0,1.21,-1.0,NYY,-4.0,4.333,2.0,2.333,3.8,3.8,0.0,4.5,5.2,-0.7
8,6,NYY,0,DET,1,2.0,3.0,73-52,1.0,Brieske,Leiter,1,1.31,-2.0,NYY,-1.0,1.667,2.333,-0.667,3.8,2.0,1.8,4.5,4.7,-0.2
8,1,NYY,1,CLE,0,5.0,9.0,73-53,2.0,Herrin,Mayza,1,1.38,-3.0,NYY,-4.0,2.333,5.333,-3.0,4.0,3.6,0.4,4.6,4.7,-0.1
8,2,NYY,1,CLE,2,8.0,1.0,74-53,1.0,Cortés,Cantillo,1,1.46,1.0,NYY,7.0,5.0,4.333,0.667,3.6,3.4,0.2,4.6,4.8,-0.2
8,3,NYY,1,CLE,2,6.0,0.0,75-53,1.0,Cole,Williams,0,1.44,2.0,NYY,6.0,6.333,3.333,3.0,4.2,3.4,0.8,4.8,3.9,0.9
8,4,NYY,1,COL,2,3.0,0.0,76-53,1.0,Rodón,Freeland,1,1.33,3.0,NYY,3.0,5.667,0.333,5.333,4.8,2.6,2.2,4.3,3.2,1.1
8,5,NYY,1,COL,0,2.0,9.0,76-54,1.0,Blalock,Warren,0,1.21,-1.0,NYY,-7.0,3.667,3.0,0.667,4.8,3.8,1.0,4.3,2.9,1.4
8,6,NYY,1,COL,2,10.0,3.0,77-54,1.0,Stroman,Gomber,0,1.28,1.0,NYY,7.0,5.0,4.0,1.0,5.8,2.6,3.2,4.9,3.1,1.8
8,0,NYY,0,WSN,2,5.0,2.0,78-54,1.0,Cortés,Parker,1,1.20,2.0,NYY,3.0,5.667,4.667,1.0,5.2,2.8,2.4,4.4,3.1,1.3
8,1,NYY,0,WSN,0,2.0,4.0,78-55,1.0,Corbin,Cole,1,1.16,-1.0,NYY,-2.0,5.667,3.0,2.667,4.4,3.6,0.8,4.3,3.5,0.8
8,2,NYY,0,WSN,0,2.0,5.0,78-56,1.0,Gore,Rodón,1,1.24,-2.0,NYY,-3.0,3.0,3.667,-0.667,4.2,4.6,-0.4,4.5,3.6,0.9
8,4,NYY,1,STL,2,6.0,3.0,79-56,1.0,Stroman,Fedde,1,1.26,1.0,NYY,3.0,3.333,4.0,-0.667,5.0,3.4,1.6,4.9,3.6,1.3
8,5,NYY,1,STL,0,5.0,6.0,79-57,1.0,Gibson,Warren,0,1.28,-1.0,NYY,-1.0,4.333,4.667,-0.333,4.0,4.0,0.0,4.9,3.3,1.6
9,6,NYY,1,STL,0,7.0,14.0,79-58,1.0,Romero,Cousins,0,1.25,-2.0,NYY,-7.0,6.0,7.667,-1.667,4.4,6.4,-2.0,4.8,4.6,0.2
9,0,NYY,0,TEX,2,8.0,4.0,80-58,1.0,Cole,Leiter,1,1.33,1.0,NYY,4.0,6.667,8.0,-1.333,5.6,6.4,-0.8,5.0,5.0,0.0
9,1,NYY,0,TEX,1,4.0,7.0,80-59,2.0,Pennington,Holmes,1,1.33,-1.0,NYY,-3.0,6.333,8.333,-2.0,6.0,6.8,-0.8,5.1,5.7,-0.6
9,2,NYY,0,TEX,0,6.0,10.0,80-60,2.0,Eovaldi,Stroman,1,1.29,-2.0,NYY,-4.0,6.0,7.0,-1.0,6.0,8.2,-2.2,5.5,5.8,-0.3
